sigla|iata|nombre|municipio|departamento|categoria|latitud|longitud|propietario|explotador|longitud_pista|ancho_pista|pbmo|orientacion|elevacion|resolucion|fecha_construccion|fecha_vigencia|clase|tipo|numero_vuelos_origen|gcd_departamento|gcd_municipio
4JC||JUANCHACO|Buenaventura|Valle del Cauca|Aeródromo|||||||||||||||24|76|76109
7FO||LA ISLA|Puerto Gaitán|Meta|Aeródromo|4.4211|-71.6271|LA ISLA Y EL ROSARIO S.A.|LA CEIBA S.A.|800|10|3000||538| 1325,000|2015-06-05|2018-06-11|1A|Privado|2|50|50568
7FU||LA ESCONDIDA|Puerto Gaitán|Meta|Aeródromo|4.6108|-71.1935|PALMAS SICARARE S.A.S.|COSARGO S.A.S.|1300|18|5000||564| 1843,000|2013-04-26|2016-05-07|1A|Fumigación|30|50|50568
7FW||MORICHITO|Hato Corozal|Casanare|Aeródromo|5.9188|-71.7932|CARMEN NARANJO|ROBERTO C. RIAÑO P.|800|15|3500||720| 2220,000|2009-05-07||1A|Privado||85|85125
7FX||CAROLINA DEL PRINCIPE|Carolina|Antioquia|Aeródromo|6.7248|-75.2909|MUNICIPIO|MUNICIPIO|400|16|1000||6004| 6470,000|2013-11-19||1A|Público|| 5| 5150
7FY||DUBAI|Ayapel|Córdoba|Aeródromo|8.296|-75.0307|ANDRES D. LONDOÑO T.|ANDRES D. LONDOÑO T.|350|10|500||82| 1212,000|2013-03-20||1A|Privado||23|23068
7FZ||EL TRIUNFO|Orocué|Casanare|Aeródromo|4.8095|-71.667|ERNESTO J. PEREZ VILLAMIZAR|EL MISMO|880|15|3000||475| 5532,000|2014-11-11||1A|Privado|2|85|85230
7GA||BARU - HIDROPUERTO|Cartagena de Indias|Bolívar|Aeródromo|10.2321|-75.5877|MAURICIO E. VASQUEZ M.|EL MISMO|450|20|500||0| 6067,000|2012-10-25|2015-11-07|1A|Privado||13|13001
7GB||LA CAROLINA|El Paso|Cesar|Aeródromo|9.528|-73.7866|JORGE AGUDELO RESTREPO|JORGE AGUDELO REST.|350|10|500||690| 5474,000|2009-10-06||UL|Privado||20|20250
7GC||SAN FELIPE DEL PAUTO|Trinidad|Casanare|Aeródromo|5.2032|-70.8951|AGRAS S.A.S|AGRAS S.A.S|720|10|3000||3125| 4505,000|2012-08-16||1A|Privado|153|85|85430
7GD||VELASQUEZ|Puerto Boyacá|Boyacá|Aeródromo|5.9482|-74.4575|FAC|MANSAROVAR|1500|18|10000||617| 2135,000|2013-05-16||3C|Privado|2325|15|15572
7GE||LUCITANIA|Orocué|Casanare|Aeródromo|4.6954|-71.589|AGROPECUARIA CRAVO SUR|AGROPECUARIA CRAVO SUR|650|18|3000||443| 1051,000|2014-02-28|2017-03-03|1A|Privado||85|85230
7GF||LA UNION|Paz de Ariporo|Casanare|Aeródromo|5.6283|-70.7032|MARTHA Y. VARGAS DE R.|GEOPARK CUERVA|640|18|3500||335| 2136,000|2013-05-16||1A|Privado|1122|85|85250
7GG||LA ILUSION|Maní|Casanare|Aeródromo|4.5805|-72.4282|SIGRA S.A.|SIGRA S.A.|890|18|3500||574| 1944,000|2013-05-03|2016-05-10|1A|Privado|2|85|85139
7GH||LA VENTUROSA|Puerto Carreño|Vichada|Aeródromo|6.1391|-68.7779|MUNICIPIO|GOBERNACION|1000|12|9500||246| 6782,000|2013-12-05||1A|Público|54|99|99001
7GI||GUAYABAL DEL CRAVO|Orocué|Casanare|Aeródromo|4.7223|-71.5943|KLAUS PUTH ARANGUREN|KLAUS PUTH ARANGUREN|750|12|2500||442| 3710,000|2013-07-24|2016-08-01|1A|Privado|1|85|85230
7GK||LAS VIOLETAS- CA|Castilla la Nueva|Meta|Aeródromo|3.8519|-73.7286|FRANCELINA CADENA|AEROCLUB DEL META|350|10|500||609| 4132,000|2010-08-19||UL|Privado||50|50150
7GL||LA JAGUA|La Jagua de Ibirico|Cesar|Aeródromo|9.5905|-73.2886|CARBONES DE LA JAGUA S.A.|CARBO. DE LA JAGUA S.A.|1200|18|7500||787|  171,000|2015-01-27|2018-02-06|2A|Privado|1070|20|20400
7GN||LOS MANGOS|Ayapel|Córdoba|Aeródromo|8.2956|-75.0987|MANUEL LOPEZ ORTEGA|MANUEL LOPEZ ORTEGA|200|10|500||90| 5190,000|2013-09-24||UL|Privado||23|23068
7GO||MATABRAVA|San Luis de Palenque|Casanare|Aeródromo|5.2132|-71.6915|FRANCISCA REYES DIAZ|FRANCISCA REYES DIAZ|600|10|2000||524| 5966,000|2014-12-15||1A|Privado|1|85|85325
