Código Departamento|Código Municipio|Código Centro Poblado|Nombre Departamento|Nombre Municipio|Nombre Centro Poblado|Tipo Centro Poblado|Longitud|Latitud|Nombre Distrito|Municipio/Áreas No Municipalizadas (ANM)|Nombre Área Metropolitana
05|05001|05001000|ANTIOQUIA|MEDELLÍN|MEDELLÍN|CABECERA MUNICIPAL|-75.58171333|6.246715564||MUNICIPIO|AREA METROPOLITANA DEL VALLE DE ABURRÁ
05|05001|05001001|ANTIOQUIA|MEDELLÍN|PALMITAS|CENTRO POBLADO|-75.69003897|6.343340893||MUNICIPIO|AREA METROPOLITANA DEL VALLE DE ABURRÁ
05|05001|05001004|ANTIOQUIA|MEDELLÍN|SANTA ELENA|CENTRO POBLADO|-75.50191439|6.209717879||MUNICIPIO|AREA METROPOLITANA DEL VALLE DE ABURRÁ
05|05001|05001009|ANTIOQUIA|MEDELLÍN|ALTAVISTA|CENTRO POBLADO|-75.62855561|6.223149943||MUNICIPIO|AREA METROPOLITANA DEL VALLE DE ABURRÁ
05|05001|05001010|ANTIOQUIA|MEDELLÍN|AGUAS FRÍAS|CENTRO POBLADO|-75.63526057|6.232665008||MUNICIPIO|AREA METROPOLITANA DEL VALLE DE ABURRÁ
05|05001|05001012|ANTIOQUIA|MEDELLÍN|LA LOMA|CENTRO POBLADO|-75.62975024|6.268909548||MUNICIPIO|AREA METROPOLITANA DEL VALLE DE ABURRÁ
05|05001|05001013|ANTIOQUIA|MEDELLÍN|SAN JOSÉ DEL MANZANILLO|CENTRO POBLADO|-75.61325372|6.205992383||MUNICIPIO|AREA METROPOLITANA DEL VALLE DE ABURRÁ
05|05001|05001014|ANTIOQUIA|MEDELLÍN|BARRO BLANCO|CENTRO POBLADO|-75.47752748|6.235244758||MUNICIPIO|AREA METROPOLITANA DEL VALLE DE ABURRÁ
05|05001|05001015|ANTIOQUIA|MEDELLÍN|EL CERRO|CENTRO POBLADO|-75.49104101|6.202030529||MUNICIPIO|AREA METROPOLITANA DEL VALLE DE ABURRÁ
05|05001|05001017|ANTIOQUIA|MEDELLÍN|EL PATIO|CENTRO POBLADO|-75.65111046|6.277840544||MUNICIPIO|AREA METROPOLITANA DEL VALLE DE ABURRÁ
05|05001|05001018|ANTIOQUIA|MEDELLÍN|EL PLACER|CENTRO POBLADO|-75.49301645|6.22476175||MUNICIPIO|AREA METROPOLITANA DEL VALLE DE ABURRÁ
