Codigo Invias,NombreEstacionPeaje,01/01/2014,02/01/2014,03/01/2014,04/01/2014,05/01/2014,06/01/2014,07/01/2014,08/01/2014,09/01/2014,10/01/2014,11/01/2014,12/01/2014,01/01/2015,02/01/2015,03/01/2015,04/01/2015,05/01/2015,06/01/2015,07/01/2015,08/01/2015,09/01/2015,10/01/2015,11/01/2015,12/01/2015,01/01/2016,02/01/2016,03/01/2016,04/01/2016,05/01/2016,06/01/2016,07/01/2016,08/01/2016,09/01/2016,10/01/2016,11/01/2016,12/01/2016,01/01/2017,02/01/2017,03/01/2017,04/01/2017,05/01/2017,06/01/2017,07/01/2017,08/01/2017,09/01/2017,10/01/2017,11/01/2017,12/01/2017,01/01/2018,02/01/2018,03/01/2018,04/01/2018,05/01/2018,06/01/2018,07/01/2018,08/01/2018,09/01/2018,10/01/2018,11/01/2018,12/01/2018
3846,ACAPULCO,0,0,0,0,0,0,0,0,0,0,0,633225900,655365800,501635500,568536100,556070200,569390900,582916900,601202029,593343500,564905500,613282500,607914900,742967950,734081100,599925400,670704200,588188700,646357200,661336500,699778100,691698200,658577400,709349700,706227000,803528400,826667600,667394100,760795600,762151800,763950500,742053600,801009500,767779200,702351000,717103900,816278700,919063600,1354646000,1552919150,1430949000,1107747800,1217613100,1584564500,1925055900,1927190700,1712171500,1859298900,1812760800,1925974100
3937,AGUAS NEGRAS,2561479700,1987096100,2102758800,2307533200,1298448700,2265932200,2525486800,2293193000,2347483800,2558532300,2089922900,2443851600,2532499000,2221603700,2409368100,2357129900,2368200100,2368160500,2800752900,2787167500,2675038000,2842764400,2697742100,2969306600,3063540700,2457978800,2685764700,2546234700,2491920100,2597787900,2388458400,2734145200,2579418500,2741272300,2622276500,3065557200,3295425100,2577829600,2767695600,2824812100,2679812400,2805698300,2773621500,2786738900,2742259100,1893404600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3935,ALBARRACIN,2814532500,2150715500,2454205500,2514977300,2133125800,2538499800,2460351400,2594860700,2286220800,2620097900,2520503000,3330089000,3178927200,2371863000,2477350700,2812975600,2860793700,2968398800,2899597800,2866244100,2568048700,2977725400,2822675900,3716218800,3441440200,2654732550,3333470000,2660926350,3043249950,2723498700,2450402650,3211851900,2830068250,3183902950,3024431200,4008517050,3734202700,2916730050,3195804850,3457976700,3253392850,3329043050,3521676000,3519567750,3066443050,3508570350,3390989350,4621163150,4166305550,3050097750,3795024050,3276038050,3402289100,3752587200,3915513800,3957627650,3556600750,3947597000,3906217550,5244128600
3816,ALTAMIRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197648700,779824200,781302100,912382100,897229200,727568200,849542000,775343900,836189800,782643600,797252500,899136600,890835600,986426700,976688000,1083914600,1026025200,831348800,922533400,945317700,859769500,907360800,937902900,937030100,862162100,913620100,909386800,1047607000,1052404750,820941300,964838000,832832200,883287900,842452800,878718500,878398600,851838800,946871200,951010200,1088629800
3818,ALTO PINO,801339700,630348700,664797400,677427600,673955900,685687500,720575500,690469500,638940100,624087200,632359900,726667100,672715700,552913500,644531100,634068600,684715100,645065300,660786800,680563600,577708200,647896600,613582200,763583800,711399300,658404800,742849600,700097200,840477200,775326500,779730000,764325800,729998300,772537000,821051400,938535100,854625100,787179300,909125900,855524700,1032711600,936704200,1037302800,1027317400,949416200,1011560700,905728600,1116498900,1040235000,901487100,1047426700,999982600,994672300,958756300,1015934600,991399700,961139300,952158600,955777300,1225961600
3983,ALVARADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430320000,1282064400,1392954400,1370377100,1584199700,1659429200,1320767100,1451902800,1400596000,1410749500,1422936500,1408058500,1510539700,1471005900,1936345000,1873130100,2102307900,2227833900,1769182500,1974480000,1963204300,1979664050,2040760100,2100175750,2070701600,1922039100,2012781000,1975753550,2192795200,2323889900,1796297350,2084340600,1961084950,2001270000,2051161800,2109909700,2109416500,1978283100,2077298650,1962879400,2167650700
3822,AMAGA,0,0,0,0,0,0,0,0,0,0,1351948900,1582020700,1522259300,1224401900,1412592500,1374062000,1545062000,1584246600,1477023900,1533025650,1443723200,1606358050,1388381100,1713478100,1723802500,1559518400,1842971250,1633986600,1775509350,1676150150,1696085700,1867129350,1601802800,1711778700,1619610800,1864110800,1874218800,1571031750,1705003600,1795704000,1771529850,1842385800,1901705000,1808113500,1548714300,1823240100,1855354050,2163210550,2100717800,1663976350,2030450300,1821062100,1226332200,1530527600,1773198150,1899270950,1758902300,1852465800,1866120750,2185983800
3951,ANDES,7952524200,7590463100,8330167150,7900818950,8560416350,7901251600,8213085500,8616967700,8315652000,8833611700,8604355650,9485373900,8626914600,8178627200,8890285400,8566835900,9107857800,8615388500,9023156500,9314743700,8926831500,9549252000,9129779150,10253382900,9341236050,9225758450,9642000100,9415170700,9716389200,9432692900,9328062400,10124754700,10043278500,10282978900,10078784000,11289089550,10282652200,9721834100,10595682000,10235129800,10646481600,10594031200,10830009500,11118015000,10668350600,11089080700,10814534500,11839252300,10709340300,10219396200,11336499100,10816977600,11472514050,11208580800,11232762300,12102361800,11508458600,11774805400,11426322300,12552733500
3803,BAYUNCA,1174686600,1137150300,1300411700,1240822050,1228851300,1184014500,1279117500,1235306900,1200563000,1218377300,1110101800,1251137300,1249659300,1172152600,1304123700,1251089100,1245840700,1249526500,1324249100,1288509700,1277725650,1439170800,1346416200,1434160900,1343467100,1305052500,1438935400,1371641100,1301597700,1333453700,1315090700,1415666800,1390403100,1395447200,1376007000,1520075300,1455825650,1424140100,1526996900,1435524900,1460024100,1461319200,1467725400,1553339500,1423128800,1440317800,1388133400,1449530550,1417575100,1369770800,1488487700,1506797400,1461157200,1398270100,1440023300,1440085400,1380306600,1484881100,1416189100,1545802200
8405,BRISAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3934,CAIMANERA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33560000,478567050,386701650,444648000,428806300,606821500,937571050,414384500,468436200,756210850,421217150,529709700,520768250,487806950,398811200,481222900,482553050,646904700,969965800,421846000,662328800,454937000,468829750,690332300,573007500,479618200,412832900,492889400,458752900,639533800
3868,CAIQUEROS,2053132700,1242344700,1522138300,1739064700,1361896100,1673896100,1619319100,1679790900,1439156200,1712323400,1450899800,2152121300,2269998200,1440660500,1731091200,1798547100,1819820400,2026713000,1967161200,2040721700,1716936800,2069488300,1928301000,2570848200,2697993900,1713553500,2249529000,1722131000,1953870100,2049783000,2340131400,2119321100,1844934500,2186347300,2139540600,2677938000,2951261200,1827939600,2047183500,2367093600,2037190500,2334040000,2406472700,2366753300,2007601800,2413424000,2327374300,3043060300,3191132000,1969910900,2560241500,2190464000,2213739900,2504217500,2677518700,2513286500,2199666500,2502540000,2485043300,3194011000
3950,CALAMAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345794200,763210300,824444000,791558514,936497900,979470300,825006500,939530418,809638400,862592400,805806300,809058800,880365400,805815300,842909200,804739900,948664900,954605400,784911000,841038400,878259100,849799500,880647900,887510600,866617500,797741100,859584400,868783700,985053600,954357300,766516200,895204700,850614700,772319000,722425000,839070800,838028900,790865300,848822300,846989500,980666600
