Codigo Invias,NombreEstacionPeaje,01/01/2014,02/01/2014,03/01/2014,04/01/2014,05/01/2014,06/01/2014,07/01/2014,08/01/2014,09/01/2014,10/01/2014,11/01/2014,12/01/2014,01/01/2015,02/01/2015,03/01/2015,04/01/2015,05/01/2015,06/01/2015,07/01/2015,08/01/2015,09/01/2015,10/01/2015,11/01/2015,12/01/2015,01/01/2016,02/01/2016,03/01/2016,04/01/2016,05/01/2016,06/01/2016,07/01/2016,08/01/2016,09/01/2016,10/01/2016,11/01/2016,12/01/2016,01/01/2017,02/01/2017,03/01/2017,04/01/2017,05/01/2017,06/01/2017,07/01/2017,08/01/2017,09/01/2017,10/01/2017,11/01/2017,12/01/2017,01/01/2018,02/01/2018,03/01/2018,04/01/2018,05/01/2018,06/01/2018,07/01/2018,08/01/2018,09/01/2018,10/01/2018,11/01/2018,12/01/2018
3846,ACAPULCO,0,0,0,0,0,0,0,0,0,0,0,91790,92652,68995,78311,76855,78805,80921,82438,81405,77309,84130,83201,102465,97515,76217,86264,75724,83620,83344,90354,86790,82716,88979,90183,103942,103648,79482,88909,90179,90302,87110,90561,85800,77672,79348,89969,107648,139093,136699,129099,109589,120429,112631,121432,119666,106213,115864,115550,129337
3937,AGUAS NEGRAS,175322,111638,119312,141652,82592,132517,141978,131071,130525,144947,121281,163462,174140,117900,131960,133109,128348,135316,149760,145247,136081,148961,142373,183944,197229,120500,147347,124425,125077,134885,131106,137888,128349,142278,135228,178389,197845,119083,127022,144690,124210,136894,136062,133317,128505,93831,0,0,449606,295750,394704,327786,336838,383911,401444,395070,342492,389079,384287,564309
3935,ALBARRACIN,355251,244244,282834,305408,241843,313235,287770,313329,263142,312162,303257,425273,389380,259217,291487,321502,323571,348277,330575,337213,284793,343016,323331,459351,411188,280997,377069,283988,339126,314921,299591,350355,305016,354488,337603,469466,429518,290764,326996,376121,335898,354376,377207,369778,308679,363751,351327,517453,117298,84119,102185,87193,91424,91598,94288,91648,89153,98941,98799,114978
3816,ALTAMIRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24493,98310,97323,115648,111120,84031,101005,89415,96922,92988,97479,104534,101744,113812,111004,125534,117938,88895,98913,105715,95013,99422,102869,102568,94784,101393,100920,117914,101016,85340,98276,93962,93823,91076,97179,94174,88958,89538,88780,112008
3818,ALTO PINO,90028,68820,72522,74268,75313,74567,77920,74311,68660,67749,68918,84597,75842,60636,70308,69301,73536,70070,70303,73017,63301,70941,68153,86405,78230,68291,77989,71805,83063,77763,79065,75793,74170,78084,83090,96055,85047,75379,86621,83183,95446,87838,94486,94905,92692,95249,89632,111334,181820,130604,154935,143557,145362,149184,156102,153731,140036,149186,142114,164997
3983,ALVARADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46315,140413,153003,149432,178671,181869,132747,154115,142040,147430,149079,154976,156819,144321,155354,149700,174197,184419,131897,146168,152568,149255,152981,159201,157837,143663,152998,149614,174256,248671,187535,231634,204391,136455,172753,201723,214975,199674,209782,213607,256115
3822,AMAGA,0,0,0,0,0,0,0,0,0,0,189798,223965,212893,164706,192225,185774,206903,214948,197441,206254,189184,213292,184674,233810,226676,188467,226552,196195,219106,210008,217154,231049,199433,217315,201518,238203,233664,185859,203793,214663,209058,218307,227765,217318,183491,216532,220388,261140,248671,187535,231634,204391,136455,172753,201723,214975,199674,209782,213607,256115
3951,ANDES,951719,896015,989585,940167,1001869,943065,969776,1041110,988229,1050048,1027593,1154847,1012878,942674,1040367,993625,1063319,1004780,1042408,1088098,1030722,1108975,1064596,1217845,1036048,1001589,1058358,1025509,1066629,1039355,1047928,1103631,1076323,1119480,1094885,1247473,1077219,996494,1092847,1067297,1101549,1097158,1120652,1146925,1089840,1131273,1119348,1247498,1088479,1013585,1141929,1075302,1141293,1117738,1113533,1170456,1109877,1131615,1097962,1245613
3803,BAYUNCA,109202,100594,112870,110187,107831,105540,113205,109642,104981,108231,100211,113532,111699,100818,112188,109838,109100,110744,115859,112491,109173,120348,112816,124717,116947,109844,119595,112577,111040,112857,115163,118406,114666,116168,114654,128365,120043,112217,121321,115142,116553,116578,115777,119746,114755,114142,109888,119510,114486,104573,114730,113303,110741,109256,112698,110426,104440,112553,107473,119082
3910,EL BOQUERON I,398601,284543,338302,364724,331023,360957,345213,359932,318221,368015,352255,417798,419190,294062,341021,340902,344739,383301,385865,380891,335638,394850,368315,447213,438592,313211,374909,304595,340728,336393,356542,343649,317735,370791,351529,416282,425435,293575,337402,364911,329019,335360,338691,355197,313881,366877,347121,432254,424730,267356,362131,319917,309874,347000,341511,299331,283197,348864,344823,419129
