X,Y,objectid,codigo_via,pr,distanciap,nombre,administra,territoria,latsig,longsig,cat_1,cat_4,cat_5,cat_6,cat_7,link_foto,sector,cat_2,cat_3,ruleid,a_cargo_de,sentido,ubicacion,telefono_peaje,telefono_grua,eje_adicional,eje_adicional_r,eje_grua,cat_e_ie,cat_8,cat_9,cat_ie_10,cat_iee,cat_ieee,cat_iia,cat_eae,cat_ec,cat_e,cat_ie,cat_iie,cat_iiie,cat_ive,cat_ve,cat_vie,cat_viie,d_cat_i,d_cat_ii,d_cat_iii,d_cat_iv,d_cat_v,d_cat_vi,d_cat_vii,d_cat_viii,d_cat_ix,d_cat_ie10,d_cat_iee,d_cat_ieee,d_cat_iia,d_cat_eg,d_cat_ear,d_cat_ea,d_cat_eae,d_cat_ec,d_cat_e,d_cat_ie,d_cat_iie,d_cat_iiie,d_cat_ive,d_cat_ve,d_cat_vie,d_cat_viie
-75.85886931,4.999048816,3846,2507,24,45,ACAPULCO,CONCESION ANI,RISARALDA,1,-75.85886931,11800,14600,35100,44000,50800,http://hermes.invias.gov.co/carreteras/images/peajes/acapulco.jpg,La Virginia - Remolinos,14600,14600,2,CONCESION PACÍFICO TRES S.A.S  (ODINSA),Aplica en ambos sentidos de circulación,Vía Y de Cerritos  - Cauyá PR2507 Km 24,3219738470,018000423780 – 3219738470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Categoría I Automóviles y Camperos,Categoría II Camiones y Buses 2 ejes pequeños,Categoría III Camiones y Buses 2 ejes grandes,Categoría IV  3 y 4 ejes,Categoría V 5 Ejes, , , , , , , , ,Categoría Eje Grúa,Categoría Eje Remolque,Categoría Eje Adicional, ,Categoría Eje Cañero, , , , , , , , 
-73.95246216,6.645326476,3937,4511,83,900,AGUAS NEGRAS,INVIAS,SANTANDER,2,1,10900,38800,45600,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3937.pdf,Río Ermitaño - La Lizama,13800,32400,5,Concesionaria Ruta Del Sol,Aplica en ambos sentido de circulación,Vía Rio Ermitaño La Lizama Km 84,3165298177,No cuenta con servicio,10200,10000,7300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y Camperos.,Camiones y Buses 2 ejes.,3 ejes.,4 ejes.,5 ejes., , , , , , , , ,Eje Grúa.,Eje Remolque.,Eje adicional., , , , , , , , , , 
-73.58351918,5.29046083,3935,5501,80,2261,ALBARRACIN,CONCESION ANI,BOYACÁ,3,-73.58360233,8000,14150,16650,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Chocontá - Tunja,4350,11400,2,Concesión Briceño - Tunja - Sogamoso,Ambos sentidos de circulación,"Vía Bogotá Tunja KM 82+200, Jurisdicción Villa Pinzón (Cundinamarca)",3203409278,3174422284 // 3174341120 // 3174341030 // 3164086968,8200,6800,5700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Automóviles, Camperos y Camionetas","Buses, Busetas y Camiones de 2 ejes",Camiones de tres y cuatro ejes,Vehículos de carga de cinco (5) ejes,Vehículos de carga de seis (6) ejes, , , , , , , , ,Eje Grúa,Eje Remolque,Eje Adicional, , , , , , , , , , 
-75.70059274,2.142914046,3816,4504,497,60,ALTAMIRA,CONCESION ANI,HUILA,4,-75.70075507,8500,24800,27900,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/altamira.jpg,Pitalito - Garzón,9300,19500,2,Concesión Aliadas para El Progreso,Aplica en ambos sentidos de circulación,Vía Pitalito – Garzon Km 60+500 Jurisdicción Municipio de Altamira (Llano de la Virgen),320 995 5541,311 260 50 25  - #296,8700,8400,6400,2400,0,0,0,0,0,0,0,6700,0,2500,5400,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 ejes pequeños,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes, , , , , , , , ,Eje Grúa,Eje Remolque,Eje Adicional, , , ,Categoría IE, , , , , , 
-72.54235206,11.44487365,3818,9010,41,170,ALTO PINO,CONCESION ANI,GUAJIRA,5,-72.54242716,9600,18900,27700,44700,56400,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Riohacha - Paraguachón,14800,11900,2,Concesión  Santa Marta Paraguachón S.A,Aplica en ambos sentidos de circulación,Ubicación 41+175 Tramo que cubre: VIA  Riohacha - Cuatro Vías,3143300807 - 314 3300807 - (5) 7288542 /43,(5) 728 85 43,0,0,0,4800,0,0,0,0,0,0,0,0,0,5000,7500,0,0,0,0,0,Automóviles y Camperos,Buses y Busetas 2 ejes pequeños,Camiones 350,Camiones 600,3 a 4 Ejes,5 Ejes,6 a mas ejes, , , , , , , , , , , , ,Categoría especial IE,Categoría especial IIE, , , , , 
-74.99163244,4.507598856,3983,4305,19,780,ALVARADO,CONCESION ANI,TOLIMA,6,-74.99163244,10700,12400,26500,36200,39200,http://hermes.invias.gov.co/carreteras/images/peajes/alvarado.jpg,Ibagué - Mariquita,11400,11900,2,Concesionaria Alternativas Viales  S.A.S,"Norte-Sur, y, Sur-Norte","Kilómetro 20+100 metros vía Ibagué-,Mariquita",3506666383 - 3506666384 - 3506666385,350 666-6375 - 350666-6386,0,0,0,7200,0,0,0,0,0,0,0,0,0,7400,0,0,0,0,0,0,Automóviles y Camperos,Buses y Busetas / Camiones pequeños hasta 4.5 toneladas,Camiones y buses 2 ejes grandes,Camiones de 3 y 4 ejes,Camiones de 5 ejes,Camiones de 6 ejes, , , , , , , , , , , , , , , , , , , , 
-75.6598771,6.046953761,3822,6003,89,351,AMAGA,CONCESION ANI,ANTIOQUIA,7,-75.6598771,8600,24400,27400,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/amaga.jpg,La Mansa - Primavera,9000,19200,2,Concesión Vial del Pacífico,Suroeste,Tramo que cubre: Bolombolo - Camilo C,Km. 89+396 Ruta Nacional 6003,3207103032,3207103032,8700,8400,6400,0,0,0,0,0,0,0,0,6700,0,0,4200,9500,0,0,0,0,"Automóviles, Camperos, Pick Up, Camioneta",Camiones y Buses 2 Ejes,Camiones y Buses 2 ejes grandes,3 y 4 ejes,Categoría V, , , , , , , , ,Eje Grúa,Eje Remolque,Eje Adicional, ,Eje Carreño, , ,Categoría IIE,Categoría IIIE, , , 
-74.03307343,4.830120102,3951,5501,2,723,ANDES,CONCESION ANI,CUNDINAMARCA,8,-74.03304393,8700,10800,16450,21250,23550,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Bogotá - Chocontá,7400,4700,2,CONCESIÓN ACCENORTE,Sur Norte Aplica Únicamente saliendo de Bogotá,Bogotá – Albarracín Km 2+600,6760652 - 6762948  3125194023 – 3125196546,676 06 52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14200,0,0,0,0,0,"Categoría I Automóviles, Camperos y Camionetas de servicio público","Categoría II Buses, busetas",Categoría III Camiones pequeños de 2 ejes,Categoría IV Camiones grandes de 2 ejes,Categoría V Camiones de 3 y 4 ejes,Categoría VI Camiones de 5 ejes,Categoría VII Camiones de 6 ejes o más, , , , , , , , , , , , , ,Categoría IIE, , , , , 
-72.30502164,5.410988727,3799,6513,16,800,ARANGUANEY,INVIAS,CASANARE,144,0,7500,21800,24500,0,0, ,Yopal   -  Paz de Ariporo,8100,17200,5,INVÍAS,Bidireccional,Yopal - Paz de Ariporo Km. 16+800,No Tiene,No Tiene,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,utomóviles y Camperos,Camiones y Buses 2 ejes pequeños,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes, , , , , , , , , , , , , , ,Categoría Especial IE,Categoría Especial IIE, , , , , 
-73.47761994,5.795024657,3896,6209,27,700,ARCABUCO,INVIAS,BOYACA,9,1,8600,25300,28400,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3896.pdf,Barbosa - Tunja,9300,19900,5,INVIAS,Ambos sentidos de circulación,Vía Barbosa – Tunja Km 27 +650 Jurisdicción Arcabuco,3205221387,No cuenta con servicio,9000,8700,6600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 ejes pequeños,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes, , , , , , , , ,Eje Grúa,Eje adicional remolque,Eje Adicional, , , , , , , , , , 
