objectid,key,cod_tramo,codigo_via,pr_inicial,dist_ini,pr_finl,dist_fin,territorial,tramo,sector,administrador,amv,superficie,calzada,ruta,fuente,fecha_fuente,fecha_actualiz,concesion,observacion_invias,estado,observacion_igac,reversion,pr_ini_con,pr_fin_con,ruleid_1,inline_fid,simlnflag,maxsimptol,minsimptol
1285,1,1010,101,0,0,28,0,27,Circunvalares de San Andres y Providencia,Circunvalación de la Isla de San Andrés,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,PR final 27+800 ramón Lobo,,,,0+0,28+0,1,10279,0,1,1
1256,1,3010,301,0,0,17,500,27,Circunvalares de San Andres y Providencia,Circunvalación de la Isla de Providencia,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,17+500,1,10269,0,1,1
1278,1,5010,501,0,0,10,400,17,Conexión Transversal Tumaco - Leticia y Ecuador,La Espriella  - Río Mataje,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,10+400,1,10268,0,1,1
1135,1,8010,801,0,0,24,0,17,Via Alterna al Puerto de Tumaco,Guachucal - Ipiales,,,,,,,,,,,,,,,,,,,,
1240,1,10010,1001,0,0,119,0,17,Transversal Tumaco - Leticia,Tumaco - Junín,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,119+0,1,10219,0,1,1
1162,1,100295,1002,95,0,127,600,17,Transversal Tumaco - Leticia,Tuquerres - Pedregal,1,2,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,Se dividio Sector según Criterio Tecnico AMV 3 (95+0000),div,,,95+0,127+600,1,10137,0,1,1
1392,1,10020,1002,0,0,95,0,17,Transversal Tumaco - Leticia,Junín - Tuquerres,1,2,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,Se dividio Sector según Criterio Tecnico AMV 2 (95+0000),div,,,0+0,95+0,1,10427,0,1,1
1042,1,100333,1003,33,0,137,700,19,Transversal Tumaco - Leticia,La Piscicultura - El Pepino,1,3,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,33+0,137+700,1,10149,0,1,1
1175,1,10035,1003,5,0,33,0,17,Transversal Tumaco - Leticia,Pasto - La Piscicultura,1,5,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,5+0,33+0,1,10151,1,1,1
1075,1,12030,1203,0,0,110,60,8,Transversal Rosas Condagua,La Lupa - Santiago,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,110+60,1,10162,0,1,1
1230,1,130743,1307,43,0,55,0,10,Transversal Tribuga - Arauca,Las Animas - Certeguí,1,2,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,Se dividio Sector según Criterio Tecnico AMV 2 (55+0000),div,,,43+0,55+0,1,10212,0,1,1
1236,1,130755,1307,55,0,100,0,10,Transversal Tribuga - Arauca,Certeguí - Quibdó,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,Se dividio Sector según Criterio Tecnico AMV 1 (55+0000),div,,,55+0,100+0,1,10215,0,1,1
1214,1,20010,2001,0,0,58,50,8,Conexión Costa Pacifica - Troncal de Occidente,Munchique - Popayán (Paso Antiguo Puente Zarzal),1,2,,2,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,"Act. seg 0-2, 40-42",,0+0,58+50,1,10193,0,1,1
1170,1,2002125,2002,125,700,146,70,14,Popayan - Paletara - San Jose de Isnos - Pitalito - San Agustin,Sombrerillos - La Portada,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,SANTANA - MOCOA - NEIVA (ENTREGADA 23-SEPT-2015),,,,,125+700,146+70,2,10144,0,1,1
1229,1,200267,2002,67,370,125,700,14,Popayan - Paletara - San Jose de Isnos - Pitalito - San Agustin,Río Mazamorras - Sombrerillos,1,1,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,67+370,125+700,1,10211,0,1,1
1189,1,200338,2003,38,0,73,747,6,Acceso a Florencia,Gabinete - El Caraño,1,2,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,38+0,73+747,1,10169,0,1,1
1237,1,210310,2103,10,764,48,222,11,Alternas a la Transversal del Caribe,Cereté - Lorica,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,APP PRIVADA ANTIOQUIA - BOLÍVAR (ENTREGA 26-NOV-2015),,,,,10+764,48+222,2,10216,1,1,1
1248,1,210348,2103,48,222,49,1360,11,Alternas a la Transversal del Caribe,Paso Nacional por Loríca,1,1,,2,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act seg 48 a 49,,48+222,49+1360,1,10227,0,1,1
1259,1,21036,2103,6,942,10,764,11,Alternas a la Transversal del Caribe,Paso Nacional por Cereté,1,1,,2,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 7-8,,6+942,10+764,1,10252,0,1,1
1269,1,21030,2103,0,0,6,942,11,Alternas a la Transversal del Caribe,Montería - Cereté,2,,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,6+942,2,10262,0,1,1
1211,1,23010,2301,0,0,12,0,25,Alternas a la Troncal de Occidente,Cali - Yumbo,1,2,,2,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 8-12,,0+0,12+0,1,10189,0,1,1
1360,1,230112,2301,12,0,53,522,25,Alternas a la Troncal de Occidente,Yumbo - Mediacanoa,1,,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,pr final 54+0400 en Ramón Lobo,,,,12+0,53+522,1,10397,0,1,1
