codigo_via,objectid,NombreEstacionPeaje,Fecha,Trafico,Recaudo
2507,3846,ACAPULCO,01/01/2014,0,0
2507,3846,ACAPULCO,02/01/2014,0,0
2507,3846,ACAPULCO,03/01/2014,0,0
2507,3846,ACAPULCO,04/01/2014,0,0
2507,3846,ACAPULCO,05/01/2014,0,0
2507,3846,ACAPULCO,06/01/2014,0,0
2507,3846,ACAPULCO,07/01/2014,0,0
2507,3846,ACAPULCO,08/01/2014,0,0
2507,3846,ACAPULCO,09/01/2014,0,0
2507,3846,ACAPULCO,10/01/2014,0,0
2507,3846,ACAPULCO,11/01/2014,0,0
2507,3846,ACAPULCO,12/01/2014,91790,633225900
2507,3846,ACAPULCO,01/01/2015,92652,655365800
2507,3846,ACAPULCO,02/01/2015,68995,501635500
2507,3846,ACAPULCO,03/01/2015,78311,568536100
2507,3846,ACAPULCO,04/01/2015,76855,556070200
2507,3846,ACAPULCO,05/01/2015,78805,569390900
2507,3846,ACAPULCO,06/01/2015,80921,582916900
2507,3846,ACAPULCO,07/01/2015,82438,601202029
2507,3846,ACAPULCO,08/01/2015,81405,593343500
2507,3846,ACAPULCO,09/01/2015,77309,564905500
2507,3846,ACAPULCO,10/01/2015,84130,613282500
2507,3846,ACAPULCO,11/01/2015,83201,607914900
2507,3846,ACAPULCO,12/01/2015,102465,742967950
2507,3846,ACAPULCO,01/01/2016,97515,734081100
2507,3846,ACAPULCO,02/01/2016,76217,599925400
2507,3846,ACAPULCO,03/01/2016,86264,670704200
2507,3846,ACAPULCO,04/01/2016,75724,588188700
2507,3846,ACAPULCO,05/01/2016,83620,646357200
2507,3846,ACAPULCO,06/01/2016,83344,661336500
2507,3846,ACAPULCO,07/01/2016,90354,699778100
2507,3846,ACAPULCO,08/01/2016,86790,691698200
2507,3846,ACAPULCO,09/01/2016,82716,658577400
2507,3846,ACAPULCO,10/01/2016,88979,709349700
2507,3846,ACAPULCO,11/01/2016,90183,706227000
2507,3846,ACAPULCO,12/01/2016,103942,803528400
2507,3846,ACAPULCO,01/01/2017,103648,826667600
2507,3846,ACAPULCO,02/01/2017,79482,667394100
2507,3846,ACAPULCO,03/01/2017,88909,760795600
2507,3846,ACAPULCO,04/01/2017,90179,762151800
2507,3846,ACAPULCO,05/01/2017,90302,763950500
2507,3846,ACAPULCO,06/01/2017,87110,742053600
2507,3846,ACAPULCO,07/01/2017,90561,801009500
2507,3846,ACAPULCO,08/01/2017,85800,767779200
2507,3846,ACAPULCO,09/01/2017,77672,702351000
2507,3846,ACAPULCO,10/01/2017,79348,717103900
2507,3846,ACAPULCO,11/01/2017,89969,816278700
2507,3846,ACAPULCO,12/01/2017,107648,919063600
2507,3846,ACAPULCO,01/01/2018,139093,1354646000
2507,3846,ACAPULCO,02/01/2018,136699,1552919150
2507,3846,ACAPULCO,03/01/2018,129099,1430949000
2507,3846,ACAPULCO,04/01/2018,109589,1107747800
2507,3846,ACAPULCO,05/01/2018,120429,1217613100
2507,3846,ACAPULCO,06/01/2018,112631,1584564500
2507,3846,ACAPULCO,07/01/2018,121432,1925055900
2507,3846,ACAPULCO,08/01/2018,119666,1927190700
2507,3846,ACAPULCO,09/01/2018,106213,1712171500
2507,3846,ACAPULCO,10/01/2018,115864,1859298900
2507,3846,ACAPULCO,11/01/2018,115550,1812760800
2507,3846,ACAPULCO,12/01/2018,129337,1925974100
4511,3937,AGUAS NEGRAS,01/01/2014,175322,2561479700
4511,3937,AGUAS NEGRAS,02/01/2014,111638,1987096100
4511,3937,AGUAS NEGRAS,03/01/2014,119312,2102758800
4511,3937,AGUAS NEGRAS,04/01/2014,141652,2307533200
4511,3937,AGUAS NEGRAS,05/01/2014,82592,1298448700
4511,3937,AGUAS NEGRAS,06/01/2014,132517,2265932200
4511,3937,AGUAS NEGRAS,07/01/2014,141978,2525486800
4511,3937,AGUAS NEGRAS,08/01/2014,131071,2293193000
4511,3937,AGUAS NEGRAS,09/01/2014,130525,2347483800
4511,3937,AGUAS NEGRAS,10/01/2014,144947,2558532300
4511,3937,AGUAS NEGRAS,11/01/2014,121281,2089922900
4511,3937,AGUAS NEGRAS,12/01/2014,163462,2443851600
4511,3937,AGUAS NEGRAS,01/01/2015,174140,2532499000
4511,3937,AGUAS NEGRAS,02/01/2015,117900,2221603700
4511,3937,AGUAS NEGRAS,03/01/2015,131960,2409368100
4511,3937,AGUAS NEGRAS,04/01/2015,133109,2357129900
4511,3937,AGUAS NEGRAS,05/01/2015,128348,2368200100
4511,3937,AGUAS NEGRAS,06/01/2015,135316,2368160500
4511,3937,AGUAS NEGRAS,07/01/2015,149760,2800752900
4511,3937,AGUAS NEGRAS,08/01/2015,145247,2787167500
4511,3937,AGUAS NEGRAS,09/01/2015,136081,2675038000
4511,3937,AGUAS NEGRAS,10/01/2015,148961,2842764400
4511,3937,AGUAS NEGRAS,11/01/2015,142373,2697742100
4511,3937,AGUAS NEGRAS,12/01/2015,183944,2969306600
4511,3937,AGUAS NEGRAS,01/01/2016,197229,3063540700
4511,3937,AGUAS NEGRAS,02/01/2016,120500,2457978800
